aaaammjj,num_poste,pmerm,tsvm,brume,brou,fumee,etpgrille
20200512,75114007,,,,,,4.3
20220602,75110001,,,,,,6.9
20200526,75107005,,,,,,5.9
20200304,75110001,,,,,,1.2
20221113,75106001,,,,,,0.9
20200303,75116008,,6.9,,,,1.3
20200926,75110001,,,,,,3.5
20220717,75114007,,,,,,8.7
20220120,75110001,,,,,,1.3
20220105,75114007,,,,,,1.5
20200718,75107005,,,,,,5.7
20200903,75116008,,13.4,,,,5.3
20201019,75106001,,,,,,2.4
20211001,75107005,,,,,,1.5
20210206,75114007,,,,,,0.5
20200905,75107005,,,,,,4.6
20211214,75110001,,,,,,0.5
20210114,75110001,,,,,,1.5
20200427,75107005,,,,,,4.1
20220915,75110001,,,,,,3.9
20200414,75107005,,,,,,4.1
20220325,75106001,,,,,,5.1
20211006,75106001,,,,,,3.2
20200115,75110001,,,,,,2.0
20221224,75116008,,11.7,,,,0.8
20200917,75107005,,,,,,6.3
20220816,75106001,,,,,,4.2
20210318,75116008,,8.0,,,,1.3
20221118,75116008,,9.5,,,,1.5
