date,dep,polluant,valeur_mean,valeur_mediane,nb_station_pollution
2019-01-15,77,PM25,10.829166666666666,10.4,48
2019-01-15,78,NO2,19.180281690140845,15.5,71
2019-01-15,78,O3,48.9625,50.35,96
2019-01-15,78,PM10,14.375,13.4,24
2019-01-15,78,PM25,9.395454545454545,9.5,22
2019-01-15,91,NO2,53.06944444444444,44.85,72
2019-01-15,91,O3,46.98301886792453,50.8,53
2019-01-15,91,PM10,10.895833333333334,10.45,24
2019-01-15,91,PM25,5.354166666666667,5.3,24
2019-01-15,92,NO2,34.28591549295775,30.4,71
2019-01-15,92,O3,31.866666666666664,32.35,24
2019-01-15,92,PM10,17.064102564102566,16.4,39
2019-01-15,92,PM25,8.35,7.95,24
2019-01-15,93,NO2,54.166060606060604,49.0,165
2019-01-15,93,O3,27.15744680851064,27.7,47
2019-01-15,93,PM10,31.578125,23.799999999999997,96
2019-01-15,93,PM25,14.554166666666667,14.8,48
2019-01-15,94,NO2,42.00833333333333,39.150000000000006,48
2019-01-15,94,O3,28.525000000000002,32.05,48
2019-01-15,94,PM10,17.027083333333334,16.25,48
2019-01-15,94,PM25,9.1875,9.2,24
2019-01-15,95,NO2,37.81666666666667,39.65,48
2019-01-15,95,O3,51.795833333333334,54.0,72
2019-01-15,95,PM10,14.331249999999999,14.0,48
2019-01-15,95,PM25,11.785416666666668,10.1,48
2019-01-16,75,NO2,48.38179271708683,43.2,357
2019-01-16,75,O3,39.90631578947368,43.4,95
2019-01-16,75,PM10,28.97225130890052,25.5,191
2019-01-16,75,PM25,15.381944444444445,14.35,72
2019-01-16,77,NO2,29.05483870967742,26.6,93
2019-01-16,77,O3,39.130833333333335,43.15,120
2019-01-16,77,PM10,26.791176470588233,24.0,68
2019-01-16,77,PM25,13.5875,13.2,48
2019-01-16,78,NO2,15.313888888888888,12.399999999999999,72
2019-01-16,78,O3,47.53125,50.9,96
2019-01-16,78,PM10,16.162499999999998,16.7,24
2019-01-16,78,PM25,11.80909090909091,11.95,22
2019-01-16,91,NO2,51.040845070422534,39.9,71
2019-01-16,91,O3,44.09166666666667,45.7,48
2019-01-16,91,PM10,16.9,16.3,23
2019-01-16,91,PM25,10.166666666666666,10.1,24
2019-01-16,92,NO2,35.12083333333333,28.4,72
2019-01-16,92,O3,32.5,38.55,24
2019-01-16,92,PM10,19.666666666666668,19.95,48
2019-01-16,92,PM25,8.866666666666667,9.5,24
2019-01-16,93,NO2,51.49226190476191,44.95,168
2019-01-16,93,O3,31.443749999999998,38.599999999999994,48
2019-01-16,93,PM10,32.37916666666667,28.5,96
2019-01-16,93,PM25,13.560416666666667,13.75,48
2019-01-16,94,NO2,39.34166666666667,34.65,48
2019-01-16,94,O3,26.925,35.2,48
2019-01-16,94,PM10,24.210416666666664,22.05,48
2019-01-16,94,PM25,13.775,13.649999999999999,24
2019-01-16,95,NO2,37.947916666666664,29.45,48
2019-01-16,95,O3,52.286567164179104,58.3,67
2019-01-16,95,PM10,14.19090909090909,13.75,44
2019-01-16,95,PM25,12.0375,11.149999999999999,48
2019-01-17,75,NO2,43.74066852367688,41.1,359
2019-01-17,75,O3,44.02916666666667,46.0,96
2019-01-17,75,PM10,17.475789473684213,15.2,190
2019-01-17,75,PM25,9.35625,8.35,64
2019-01-17,77,NO2,28.21276595744681,21.65,94
2019-01-17,77,O3,45.861666666666665,50.150000000000006,120
2019-01-17,77,PM10,15.26056338028169,12.2,71
2019-01-17,77,PM25,8.410416666666666,7.15,48
