num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20220525,0,1,6.3,1,403,9,21.5,1,1455,9,15,1,13.9,1,15.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220909,2.2,1,13.1,1,2106,9,20.9,1,1240,9,15.6,1,17,1,7.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20210617,13.7,1,17.2,1,415,9,27.4,1,1302,9,21.2,1,22.3,1,10.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20221029,0,1,14.2,1,718,9,24.2,1,1235,9,18.2,1,19.2,1,10,1,11.6,9,,,0,9,1.8,1,,,4.7,1,190,1,1301,9,7.9,1,170,1,1252,9,,,,,,,7.2,1,,,1120,9,0,9
91200002,91200002,DOURDAN,48.526167,1.993,116,20220914,7.3,1,17.8,1,603,9,26.4,1,1402,9,21,1,22.1,1,8.6,1,16.2,9,,,0,9,1.8,1,,,4.3,1,270,1,1202,9,9.6,1,220,1,1412,9,,,,,,,8.5,9,,,1412,9,,
91027002,91027002,ORLY,48.718,2.397,86,20211229,6.2,1,9.1,1,502,9,15,1,1356,9,12.3,1,12.1,1,5.9,1,8.9,9,,,0,9,4.4,1,,,7.9,1,240,9,2250,9,12.4,1,250,1,1717,9,,,,,,,11.3,1,,,2249,9,587,9
91027002,91027002,ORLY,48.718,2.397,86,20201110,1.4,1,11.8,1,432,9,14.8,1,1406,9,12.8,1,13.3,1,3,1,10,9,,,0,9,1.7,1,,,3.8,1,250,1,1143,9,5.3,1,250,1,1136,9,,,,,,,5,1,,,1136,9,100,9
91200002,91200002,DOURDAN,48.526167,1.993,116,20200225,7.2,1,5.7,1,1534,9,11.4,1,1251,9,7.6,1,8.6,1,5.7,1,3.4,9,,,0,9,3.9,1,,,6.7,1,290,1,1516,9,14.8,1,320,1,1512,9,,,,,,,13.4,9,,,1901,9,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20200513,0,1,3.2,1,2359,9,15.7,1,1534,9,9.9,1,9.5,1,12.5,1,-0.6,9,,,0,9,4.3,1,,,6.9,1,30,1,1252,9,12.7,1,50,1,813,9,,,,,,,12,9,,,1118,9,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20200301,16.2,1,0.9,1,1536,9,8.1,1,1048,9,4.8,1,4.5,1,7.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20220527,0,1,13.4,1,447,9,22.2,1,1532,9,15.5,1,17.8,1,8.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20211219,0,1,4.1,1,1117,9,5.4,1,311,9,4.7,1,4.8,1,1.3,1,4.5,9,,,0,9,4.4,1,,,6.1,1,40,1,1801,9,9.2,1,10,1,1618,9,,,,,,,8.2,1,,,1618,9,70,9
91027002,91027002,ORLY,48.718,2.397,86,20201111,0.2,1,9.1,1,901,9,12.3,1,352,9,10.5,1,10.7,1,3.2,1,9.4,9,,,0,9,2.4,1,,,4.6,1,190,1,1322,9,7.7,1,190,1,1321,9,,,,,,,7.4,1,,,1321,9,15,9
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20221101,0,1,9.6,1,,,16.8,1,,,13.2,1,13.2,1,7.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20220723,0.2,1,16.4,1,138,9,27.7,1,1537,9,21.1,1,22.1,1,11.3,1,14.6,9,,,0,9,1.4,1,,,3.1,1,300,1,1236,9,6.1,1,310,1,1148,9,,,,,,,5.2,9,,,1148,9,,
